q5_01,q5_02,q5_03,q5_04,q5_05,q5_06,q5_07,q5_08,q5_09,q5_10,q5_11,q5_12,q5_13,q5_14,q5_15,q5_16,q5_17,q5_18,q5_19,q5_20,q8,w1,w2,w6
1,1,5,3,5,3,1,3,4,4,1,1,5,4,5,5,1,1,5,5,2,2,6,11
4,4,4,2,2,2,2,5,3,5,4,2,4,2,4,5,1,2,1,1,2,2,5,10
5,4,3,1,1,1,4,1,1,1,4,1,1,1,3,5,4,1,1,3,2,1,6,12
4,4,4,3,3,4,5,5,4,5,5,5,5,4,5,4,3,3,3,4,2,2,3,9
4,4,4,1,5,1,4,5,1,3,4,1,5,4,5,2,2,3,3,4,1,1,4,16
3,1,2,1,1,2,1,5,5,4,5,1,1,2,4,2,1,4,2,4,1,2,3,12
5,5,5,1,1,4,5,5,5,5,5,3,5,5,4,3,2,1,3,1,1,2,2,9
5,5,5,4,1,4,4,5,4,4,5,4,4,5,5,5,4,2,1,4,1,2,5,14
3,5,5,5,1,1,1,1,4,1,3,2,2,4,4,4,4,3,4,3,1,2,3,9
5,5,5,5,5,5,4,4,3,1,4,5,1,5,5,4,1,2,4,4,1,2,2,8
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,1,2,2,14
5,5,5,1,1,5,5,5,4,4,5,4,4,5,4,5,4,5,5,4,1,2,3,9
4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,1,2,2,7
5,5,5,5,5,5,4,4,3,1,4,5,1,5,5,4,1,2,4,4,1,2,2,8
3,3,3,1,1,4,4,4,4,5,5,5,4,5,4,4,1,4,4,4,1,2,3,7
4,3,5,2,1,1,2,1,3,4,1,5,4,2,1,5,5,3,3,5,1,2,2,10
3,4,5,2,2,2,5,5,5,4,5,3,2,5,5,4,1,2,2,3,1,2,2,7
5,5,5,5,1,5,1,4,5,5,5,5,5,5,5,5,1,5,5,5,1,2,3,1
5,5,4,5,5,5,5,4,4,5,4,2,2,4,4,4,1,3,4,4,1,2,2,6
4,4,5,4,3,4,5,2,4,3,5,2,2,4,2,1,2,3,4,4,1,2,2,8
5,4,4,4,5,4,5,4,5,4,3,2,3,3,3,2,4,5,5,5,1,2,2,6
3,4,3,3,2,5,5,5,5,1,1,2,2,2,2,4,4,4,4,3,1,2,5,15
5,5,4,5,2,5,5,5,5,4,3,5,5,5,5,4,5,3,4,5,1,2,3,9
5,5,4,1,1,5,4,5,3,5,5,5,5,5,3,4,5,5,5,5,1,2,2,16
3,3,2,3,3,3,3,3,2,2,2,1,1,2,1,2,2,3,3,2,1,2,2,7
5,4,3,4,4,5,4,4,4,5,5,5,3,4,5,4,5,4,3,4,1,2,3,1
4,3,4,1,1,4,2,3,5,3,4,2,1,4,2,3,1,4,1,3,1,2,3,10
2,3,3,2,2,4,3,2,3,3,2,3,2,2,4,2,2,3,1,2,1,2,3,7
4,3,2,5,3,4,3,3,4,5,4,5,5,5,4,4,3,4,5,3,1,2,3,9
4,5,5,3,4,2,3,4,5,4,3,2,5,5,5,5,5,3,4,5,1,2,3,7
4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,5,5,5,3,1,1,2,3,12
4,5,3,4,3,4,5,4,3,4,3,4,4,3,2,4,5,4,3,4,1,2,5,11
5,3,4,3,5,5,5,3,5,5,4,4,4,5,4,3,2,2,5,4,1,2,1,9
5,3,2,5,5,1,2,5,5,3,4,2,5,2,5,5,2,1,1,1,1,2,2,5
4,4,4,5,1,3,4,2,1,4,4,3,1,1,2,1,1,4,4,4,1,1,2,7
5,5,5,5,2,4,4,4,5,3,4,2,3,4,4,1,1,1,2,2,1,2,2,9
5,5,5,5,5,5,4,5,5,4,5,5,5,4,3,5,5,2,2,1,1,2,3,12
5,5,5,5,1,1,3,5,5,3,2,3,5,5,5,5,3,3,4,5,1,2,2,14
5,5,5,1,1,5,5,5,5,5,1,5,1,5,4,4,3,3,3,5,1,2,2,8
5,5,4,5,1,4,5,5,4,3,5,2,4,3,5,5,3,4,3,4,1,2,3,9
3,4,2,5,3,4,4,4,3,4,4,3,3,3,4,4,3,4,4,5,1,2,4,9
4,4,2,5,5,4,3,4,1,2,3,4,5,4,2,4,1,4,3,2,1,1,5,1
5,5,5,1,1,1,4,4,5,5,4,1,1,1,5,5,1,5,1,3,1,2,3,16
5,4,5,4,1,5,5,3,5,4,5,3,4,4,5,3,4,3,4,3,1,2,2,9
1,1,4,1,1,1,1,1,1,1,5,5,5,1,1,2,1,1,4,1,1,2,3,11
5,5,4,3,3,4,5,5,5,2,2,4,4,5,5,5,4,3,4,5,1,2,3,9
4,5,4,3,5,3,2,3,4,3,1,3,2,4,1,4,2,3,4,2,1,2,3,9
5,5,2,4,1,4,4,4,4,2,3,1,2,5,1,5,5,2,2,5,1,2,5,12
5,5,5,5,1,5,5,1,5,5,4,4,4,1,5,5,1,2,3,5,1,2,4,9
4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,1,2,2,11
5,5,5,5,1,5,5,4,5,4,4,2,2,5,4,5,4,1,4,4,1,2,3,11
5,4,4,4,3,5,5,4,3,3,4,3,3,3,5,5,5,4,4,4,1,2,2,7
4,4,4,3,3,3,2,5,4,2,3,3,5,4,5,5,2,4,4,5,1,1,4,9
3,5,2,4,1,5,5,1,2,4,5,1,5,1,2,2,5,1,5,1,1,2,3,99
3,4,4,1,1,5,4,4,5,4,5,1,4,5,5,5,5,5,1,1,1,2,5,1
4,3,5,4,3,4,5,4,4,4,5,3,4,3,5,4,3,4,5,3,1,1,3,7
3,4,5,4,4,1,4,5,5,4,5,1,4,5,5,4,1,1,1,1,1,2,2,9
4,4,3,5,1,5,4,4,4,5,5,4,3,5,5,1,4,4,2,5,1,2,3,7
5,5,5,3,1,2,4,2,2,4,4,4,1,4,5,5,1,1,1,4,1,2,6,9
