香港  ,337786人去过,香港海洋公园、星光大道、维多利亚港、太平山、尖沙咀、金紫荆广场、香港迪士尼乐园、中环、弥敦道、兰桂坊、中银大厦、香港杜莎夫人蜡像馆、中环至半山自动扶梯、旺角、湾仔、黄大仙祠、铜锣湾、庙街、凌霄阁、重庆大厦,//place.qyer.com/hong-kong/,https://pic.qyer.com/album/user/213/10/Q0hWQxoGYg/index/cover
澳门  ,199366人去过,澳门大三巴牌坊、大炮台、议事亭前地、玫瑰堂、官也街、妈阁庙、氹仔岛、澳门渔人码头、民政总署大楼、澳门威尼斯人、大三巴街、澳门博物馆、金莲花广场、岗顶前地、玛嘉烈蛋挞店、澳门旅游塔、龙环葡韵住宅式博物馆、东望洋炮台、圣若瑟修院及圣堂、黑沙海滩,//place.qyer.com/macau/,https://pic.qyer.com/album/user/1015/77/QElURx0AZE8/index/cover
台北  ,133867人去过,台北故宫博物院、台北101大楼、西门町、中正纪念堂、士林夜市、国父纪念馆、士林官邸、台北总统府、台北车站、阳明山国家公园、红楼创意市集、西门红楼、阿宗面线、猫空站、龙山寺、师大夜市、北投温泉博物馆、101觀景台、松山文创园区、饶河街观光夜市,//place.qyer.com/taipei/,https://pic.qyer.com/album/user/2579/12/Q0xSSxsFaEA/index/cover
台湾  ,112068人去过,台北故宫博物院、台北101大楼、西门町、中正纪念堂、士林夜市、国父纪念馆、垦丁大街、鹅銮鼻公园、士林官邸、鹅銮鼻灯塔、九份老街、七星潭、台北总统府、船帆石、清水断崖、六合夜市、日月潭、高雄捷运美丽岛站(光之穹顶)、打狗英国领事馆、台湾最南点碑,//place.qyer.com/taiwan/,https://pic.qyer.com/album/user/1849/7/QEFRSxoAaEA/index/cover
北京  ,85491人去过,故宫、颐和园、圆明园、天安门广场、北京野生动物园、北京欢乐谷、恭王府、天坛、北京汽车博物馆、北海公园、北京动物园、中国科学技术馆、北京杜莎夫人蜡像馆、南锣鼓巷、景山公园、北京海洋馆、世界公园、香山公园、富国海底世界、世界花卉大观园,//place.qyer.com/beijing/,https://pic.qyer.com/album/user/1501/43/QExVQx4EZUg/index/cover
上海  ,82497人去过,东方明珠、上海野生动物园、上海海洋水族馆、上海科技馆、上海杜莎夫人蜡像馆、上海海昌海洋公园、豫园、上海长风海洋世界、上海动物园、顾村公园、城隍庙旅游区、上海自然博物馆、金茂大厦、银行博物馆、东方绿舟、上海汽车博物馆、中国航海博物馆、浦东开发陈列馆、新天地、浦东第一图书馆,//place.qyer.com/shanghai/,https://pic.qyer.com/album/user/1500/96/QExVQhMBY08/index/cover
成都  ,75843人去过,成都大熊猫繁育研究基地、宽窄巷子、武侯祠、杜甫草堂、金沙遗址博物馆、成都海昌极地海洋公园、成都欢乐谷、成都动物园、春熙路、蜀风雅韵川剧院、国色天乡童话世界、浩海立方海洋馆、文殊院、秀丽东方、青羊宫、松鼠部落森林假日公园、中国泰迪熊博物馆、漫花庄园、天府熊猫塔、四川博物院,//place.qyer.com/chengdu/,https://pic.qyer.com/album/user/1503/17/QExVQRsAYUg/index/cover
广州  ,74423人去过,长隆野生动物世界、广州塔、长隆欢乐世界、长隆国际马戏大剧院、珠江夜游、岭南印象园、沙面、宝墨园、正佳极地海洋世界、百万葵园、黄石公园、珠江夜游天字码头、中国科学院华南植物园、从化碧水湾温泉、陈家祠、珠江夜游广州塔码头、越秀公园、珠江夜游大沙头码头、上下九步行街、广州动物园,//place.qyer.com/guangzhou/,https://pic.qyer.com/album/user/1503/16/QExVQRsBZkk/index/cover
南京  ,70869人去过,中山陵景区、牛首山文化旅游区、红山森林动物园、南京海底世界（尧泰汉海集团）、钟山风景名胜区、大报恩寺遗址公园、瞻园、秦淮河画舫、夫子庙秦淮河风光带、美龄宫、珍珠泉风景区、外秦淮河画舫、六朝博物馆、江宁织造博物馆、鸡鸣寺、圣保罗教堂、雨花台、梅花山、南京长江大桥、灵谷景区,//place.qyer.com/nanjing/,https://pic.qyer.com/album/user/861/28/SU9UQBIAYg/index/cover
杭州  ,70427人去过,西溪国家湿地公园、杭州灵隐（飞来峰）景区、灵隐寺、杭州动物园、西湖游船、岳王庙景区、胡雪岩故居、三潭印月、虎跑公园、杭州海底世界、清河坊街、京杭大运河、花港观鱼、白堤、南宋御街、云栖竹径、大喇叭、杭州云曼温泉、纪念公园、杭州植物园,//place.qyer.com/hangzhou/,https://pic.qyer.com/album/user/1503/18/QExVQRsPZ0A/index/cover
